SWD06 Spine-Leaf Links                20160411 2601.0.4,,,,,,,,,,,,,,
Mode,SWD06,,,,,,,,,,,,,
Source,,,,,,Destination,,,,,,Cable,,
Rack Group,Rack,Name,Name-2,Port,Type,Rack Group,Rack,Name,Name-2,Port,Type,Label,Length,Details
,,ZzNAMEqQ,S201A,24,CS,,,ZzNAMEqQ,L101A,25,CL,,,
,,ZzNAMEqQ,S201A,23,,,,ZzNAMEqQ,L101A,26,,,,
,,ZzNAMEqQ,S202A,22,,,,ZzNAMEqQ,L101A,27,,,,
,,ZzNAMEqQ,S202A,21,,,,ZzNAMEqQ,L101A,28,,,,
,,ZzNAMEqQ,S203A,20,,,,ZzNAMEqQ,L101A,29,,,,
,,ZzNAMEqQ,S203A,19,,,,ZzNAMEqQ,L101A,30,,,,
,,ZzNAMEqQ,S202B,31,,,,ZzNAMEqQ,L101A,31,,,,
,,ZzNAMEqQ,S202B,32,,,,ZzNAMEqQ,L101A,32,,,,
,,ZzNAMEqQ,S201B,33,,,,ZzNAMEqQ,L101A,33,,,,
,,ZzNAMEqQ,S201B,34,,,,ZzNAMEqQ,L101A,34,,,,
,,ZzNAMEqQ,S203B,35,,,,ZzNAMEqQ,L101A,35,,,,
,,ZzNAMEqQ,S203B,36,,,,ZzNAMEqQ,L101A,36,,,,
,,ZzNAMEqQ,S203B,37,,,,ZzNAMEqQ,L101A,37,,,,
,,ZzNAMEqQ,S203B,38,,,,ZzNAMEqQ,L101A,38,,,,
,,ZzNAMEqQ,S201B,39,,,,ZzNAMEqQ,L101A,39,,,,
,,ZzNAMEqQ,S201B,40,,,,ZzNAMEqQ,L101A,40,,,,
,,ZzNAMEqQ,S202B,41,,,,ZzNAMEqQ,L101A,41,,,,
,,ZzNAMEqQ,S202B,42,,,,ZzNAMEqQ,L101A,42,,,,
,,ZzNAMEqQ,S203A,06,,,,ZzNAMEqQ,L101A,43,,,,
,,ZzNAMEqQ,S203A,05,,,,ZzNAMEqQ,L101A,44,,,,
,,ZzNAMEqQ,S202A,04,,,,ZzNAMEqQ,L101A,45,,,,
,,ZzNAMEqQ,S202A,03,,,,ZzNAMEqQ,L101A,46,,,,
,,ZzNAMEqQ,S201A,02,,,,ZzNAMEqQ,L101A,47,,,,
,,ZzNAMEqQ,S201A,01,,,,ZzNAMEqQ,L101A,48,,,,
,,ZzNAMEqQ,S201B,48,,,,ZzNAMEqQ,L101B,25,,,,
,,ZzNAMEqQ,S201B,47,,,,ZzNAMEqQ,L101B,26,,,,
,,ZzNAMEqQ,S202B,46,,,,ZzNAMEqQ,L101B,27,,,,
,,ZzNAMEqQ,S202B,45,,,,ZzNAMEqQ,L101B,28,,,,
,,ZzNAMEqQ,S203B,44,,,,ZzNAMEqQ,L101B,29,,,,
,,ZzNAMEqQ,S203B,43,,,,ZzNAMEqQ,L101B,30,,,,
,,ZzNAMEqQ,S203A,07,,,,ZzNAMEqQ,L101B,31,,,,
,,ZzNAMEqQ,S203A,08,,,,ZzNAMEqQ,L101B,32,,,,
,,ZzNAMEqQ,S202A,09,,,,ZzNAMEqQ,L101B,33,,,,
,,ZzNAMEqQ,S202A,10,,,,ZzNAMEqQ,L101B,34,,,,
,,ZzNAMEqQ,S201A,11,,,,ZzNAMEqQ,L101B,35,,,,
,,ZzNAMEqQ,S201A,12,,,,ZzNAMEqQ,L101B,36,,,,
,,ZzNAMEqQ,S201A,13,,,,ZzNAMEqQ,L101B,37,,,,
,,ZzNAMEqQ,S201A,14,,,,ZzNAMEqQ,L101B,38,,,,
,,ZzNAMEqQ,S202A,15,,,,ZzNAMEqQ,L101B,39,,,,
,,ZzNAMEqQ,S202A,16,,,,ZzNAMEqQ,L101B,40,,,,
,,ZzNAMEqQ,S203A,17,,,,ZzNAMEqQ,L101B,41,,,,
