SWD24 Spine-Leaf Links                20160411 2601.0.4,,,,,,,,,,,,,,
Mode,SWD24,,,,,,,,,,,,,
Source,,,,,,Destination,,,,,,Cable,,
Rack Group,Rack,Name,Name-2,Port,Type,Rack Group,Rack,Name,Name-2,Port,Type,Label,Length,Details
,,ZzNAMEqQ,S207A,25,,,,ZzNAMEqQ,L102A,48,,,,
,,ZzNAMEqQ,S207B,24,,,,ZzNAMEqQ,L102B,25,,,,
,,ZzNAMEqQ,S206B,23,,,,ZzNAMEqQ,L102B,26,,,,
,,ZzNAMEqQ,S205B,22,,,,ZzNAMEqQ,L102B,27,,,,
,,ZzNAMEqQ,S204B,21,,,,ZzNAMEqQ,L102B,28,,,,
,,ZzNAMEqQ,S203B,20,,,,ZzNAMEqQ,L102B,29,,,,
,,ZzNAMEqQ,S202B,19,,,,ZzNAMEqQ,L102B,30,,,,
,,ZzNAMEqQ,S207A,31,,,,ZzNAMEqQ,L102B,31,,,,
,,ZzNAMEqQ,S206A,32,,,,ZzNAMEqQ,L102B,32,,,,
,,ZzNAMEqQ,S205A,33,,,,ZzNAMEqQ,L102B,33,,,,
,,ZzNAMEqQ,S204A,34,,,,ZzNAMEqQ,L102B,34,,,,
,,ZzNAMEqQ,S203A,35,,,,ZzNAMEqQ,L102B,35,,,,
,,ZzNAMEqQ,S202A,36,,,,ZzNAMEqQ,L102B,36,,,,
,,ZzNAMEqQ,S201A,37,,,,ZzNAMEqQ,L102B,37,,,,
,,ZzNAMEqQ,S212A,38,,,,ZzNAMEqQ,L102B,38,,,,
,,ZzNAMEqQ,S211A,39,,,,ZzNAMEqQ,L102B,39,,,,
,,ZzNAMEqQ,S210A,40,,,,ZzNAMEqQ,L102B,40,,,,
,,ZzNAMEqQ,S209A,41,,,,ZzNAMEqQ,L102B,41,,,,
,,ZzNAMEqQ,S208A,42,,,,ZzNAMEqQ,L102B,42,,,,
,,ZzNAMEqQ,S212B,06,,,,ZzNAMEqQ,L102B,43,,,,
,,ZzNAMEqQ,S211B,05,,,,ZzNAMEqQ,L102B,44,,,,
,,ZzNAMEqQ,S210B,04,,,,ZzNAMEqQ,L102B,45,,,,
,,ZzNAMEqQ,S209B,03,,,,ZzNAMEqQ,L102B,46,,,,
,,ZzNAMEqQ,S208B,02,,,,ZzNAMEqQ,L102B,47,,,,
,,ZzNAMEqQ,S201B,01,,,,ZzNAMEqQ,L102B,48,,,,
,,ZzNAMEqQ,S202A,24,,,,ZzNAMEqQ,L103A,25,,,,
,,ZzNAMEqQ,S209A,23,,,,ZzNAMEqQ,L103A,26,,,,
,,ZzNAMEqQ,S210A,22,,,,ZzNAMEqQ,L103A,27,,,,
,,ZzNAMEqQ,S211A,21,,,,ZzNAMEqQ,L103A,28,,,,
,,ZzNAMEqQ,S212A,20,,,,ZzNAMEqQ,L103A,29,,,,
,,ZzNAMEqQ,S201A,19,,,,ZzNAMEqQ,L103A,30,,,,
,,ZzNAMEqQ,S208B,31,,,,ZzNAMEqQ,L103A,31,,,,
,,ZzNAMEqQ,S209B,32,,,,ZzNAMEqQ,L103A,32,,,,
,,ZzNAMEqQ,S210B,33,,,,ZzNAMEqQ,L103A,33,,,,
,,ZzNAMEqQ,S211B,34,,,,ZzNAMEqQ,L103A,34,,,,
,,ZzNAMEqQ,S212B,35,,,,ZzNAMEqQ,L103A,35,,,,
,,ZzNAMEqQ,S201B,36,,,,ZzNAMEqQ,L103A,36,,,,
,,ZzNAMEqQ,S202B,37,,,,ZzNAMEqQ,L103A,37,,,,
,,ZzNAMEqQ,S203B,38,,,,ZzNAMEqQ,L103A,38,,,,
,,ZzNAMEqQ,S204B,39,,,,ZzNAMEqQ,L103A,39,,,,
,,ZzNAMEqQ,S205B,40,,,,ZzNAMEqQ,L103A,40,,,,
,,ZzNAMEqQ,S206B,41,,,,ZzNAMEqQ,L103A,41,,,,
,,ZzNAMEqQ,S207B,42,,,,ZzNAMEqQ,L103A,42,,,,
,,ZzNAMEqQ,S203A,06,,,,ZzNAMEqQ,L103A,43,,,,
,,ZzNAMEqQ,S204A,05,,,,ZzNAMEqQ,L103A,44,,,,
,,ZzNAMEqQ,S205A,04,,,,ZzNAMEqQ,L103A,45,,,,
,,ZzNAMEqQ,S206A,03,,,,ZzNAMEqQ,L103A,46,,,,
,,ZzNAMEqQ,S207A,02,,,,ZzNAMEqQ,L103A,47,,,,
,,ZzNAMEqQ,S208A,01,,,,ZzNAMEqQ,L103A,48,,,,
,,ZzNAMEqQ,S208B,48,,,,ZzNAMEqQ,L103B,25,,,,
,,ZzNAMEqQ,S207B,47,,,,ZzNAMEqQ,L103B,26,,,,
,,ZzNAMEqQ,S206B,46,,,,ZzNAMEqQ,L103B,27,,,,
,,ZzNAMEqQ,S205B,45,,,,ZzNAMEqQ,L103B,28,,,,
,,ZzNAMEqQ,S204B,44,,,,ZzNAMEqQ,L103B,29,,,,
,,ZzNAMEqQ,S203B,43,,,,ZzNAMEqQ,L103B,30,,,,
,,ZzNAMEqQ,S208A,07,,,,ZzNAMEqQ,L103B,31,,,,
,,ZzNAMEqQ,S207A,08,,,,ZzNAMEqQ,L103B,32,,,,
,,ZzNAMEqQ,S206A,09,,,,ZzNAMEqQ,L103B,33,,,,
,,ZzNAMEqQ,S205A,10,,,,ZzNAMEqQ,L103B,34,,,,
,,ZzNAMEqQ,S204A,11,,,,ZzNAMEqQ,L103B,35,,,,
,,ZzNAMEqQ,S203A,12,,,,ZzNAMEqQ,L103B,36,,,,
,,ZzNAMEqQ,S202A,13,,,,ZzNAMEqQ,L103B,37,,,,
,,ZzNAMEqQ,S201A,14,,,,ZzNAMEqQ,L103B,38,,,,
,,ZzNAMEqQ,S212A,15,,,,ZzNAMEqQ,L103B,39,,,,
,,ZzNAMEqQ,S211A,16,,,,ZzNAMEqQ,L103B,40,,,,
,,ZzNAMEqQ,S210A,17,,,,ZzNAMEqQ,L103B,41,,,,
,,ZzNAMEqQ,S209A,18,,,,ZzNAMEqQ,L103B,42,,,,
,,ZzNAMEqQ,S201B,30,,,,ZzNAMEqQ,L103B,43,,,,
,,ZzNAMEqQ,S212B,29,,,,ZzNAMEqQ,L103B,44,,,,
,,ZzNAMEqQ,S211B,28,,,,ZzNAMEqQ,L103B,45,,,,
,,ZzNAMEqQ,S210B,27,,,,ZzNAMEqQ,L103B,46,,,,
,,ZzNAMEqQ,S209B,26,,,,ZzNAMEqQ,L103B,47,,,,
,,ZzNAMEqQ,S202B,25,,,,ZzNAMEqQ,L103B,48,,,,
,,ZzNAMEqQ,S202A,48,,,,ZzNAMEqQ,L104A,25,,,,
,,ZzNAMEqQ,S209A,47,,,,ZzNAMEqQ,L104A,26,,,,
,,ZzNAMEqQ,S210A,46,,,,ZzNAMEqQ,L104A,27,,,,
,,ZzNAMEqQ,S211A,45,,,,ZzNAMEqQ,L104A,28,,,,
,,ZzNAMEqQ,S212A,44,,,,ZzNAMEqQ,L104A,29,,,,
,,ZzNAMEqQ,S201A,43,,,,ZzNAMEqQ,L104A,30,,,,
,,ZzNAMEqQ,S208B,07,,,,ZzNAMEqQ,L104A,31,,,,
,,ZzNAMEqQ,S209B,08,,,,ZzNAMEqQ,L104A,32,,,,
,,ZzNAMEqQ,S210B,09,,,,ZzNAMEqQ,L104A,33,,,,
,,ZzNAMEqQ,S211B,10,,,,ZzNAMEqQ,L104A,34,,,,
,,ZzNAMEqQ,S212B,11,,,,ZzNAMEqQ,L104A,35,,,,
,,ZzNAMEqQ,S201B,12,,,,ZzNAMEqQ,L104A,36,,,,
,,ZzNAMEqQ,S202B,13,,,,ZzNAMEqQ,L104A,37,,,,
,,ZzNAMEqQ,S203B,14,,,,ZzNAMEqQ,L104A,38,,,,
,,ZzNAMEqQ,S204B,15,,,,ZzNAMEqQ,L104A,39,,,,
,,ZzNAMEqQ,S205B,16,,,,ZzNAMEqQ,L104A,40,,,,
,,ZzNAMEqQ,S206B,17,,,,ZzNAMEqQ,L104A,41,,,,
,,ZzNAMEqQ,S207B,18,,,,ZzNAMEqQ,L104A,42,,,,
,,ZzNAMEqQ,S203A,30,,,,ZzNAMEqQ,L104A,43,,,,
